Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2009-08-06,1.1500740051269531,1.2019623537947843,1.1060043953301528,1.1728195582496657,241978000
2009-08-07,1.1678436994552612,1.1913000798663964,1.1394117437408942,1.147941313508422,24543000
2009-08-10,1.135146975517273,1.1820597387789844,1.1095581801501728,1.1820597387789844,24210000
2009-08-11,1.1138230562210083,1.1372794388753134,1.1017394060996948,1.1358578579004293,23054000
2009-08-12,1.1372795104980469,1.1514954906100094,1.113112293467355,1.1479414955820189,14513000
2009-08-13,1.1763732433319092,1.1884568920316947,1.1372793050850756,1.1372793050850756,11506000
2009-08-14,1.1799273490905762,1.2083593915967747,1.1550493860398308,1.172819359647506,6378000
2009-08-17,1.1529170274734497,1.1635790121486584,1.1514954464635396,1.156471022365186,2544000
2009-08-18,1.2133350372314453,1.222575440987101,1.162157442502867,1.1713978462585226,14467000
2009-08-19,1.271620512008667,1.2751745066282687,1.1941432937270842,1.196986540263115,20708000
2009-08-20,1.2623796463012695,1.2758847870116197,1.2289720413360838,1.2758847870116197,18821000
2009-08-21,1.266645073890686,1.2773071443532567,1.249585930618434,1.2645127445321023,8636000
2009-08-24,1.2438995838165283,1.2687775517673572,1.2296836021303406,1.2453211650383602,10216000
2009-08-25,1.2687774896621704,1.2723314849097536,1.2474535181766722,1.2545615086718382,5308000
2009-08-26,1.2687774896621704,1.2687774896621704,1.219021556196008,1.257404755710263,7086000
2009-08-27,1.290812373161316,1.294366368626604,1.2474535945912266,1.2687775673829553,11611000
2009-08-28,1.3128467798233032,1.3505191372494334,1.27943916481864,1.2865471535883284,12950000
2009-08-31,1.2936556339263916,1.3078716159364723,1.2659344181663723,1.3043176204339522,10048000
2009-09-01,1.2687774896621704,1.3107146844240085,1.204094742262587,1.2972095363767653,13835000
2009-09-02,1.256693959236145,1.2972095740214897,1.2424779778332682,1.2623803687440822,12934000
2009-09-03,1.2403454780578613,1.2773070949411118,1.2083595221093058,1.2773070949411118,36577000
2009-09-04,1.2623796463012695,1.2794387803284364,1.2431880146033512,1.2616688137443524,11586000
2009-09-08,1.2581154108047485,1.274463804680452,1.2403454358820112,1.2623802386797753,5749000
